seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
62,0,1,0,1,0,1,3
102,0,0,1,0,1,1,3
107,0,1,0,0,0,0,1
112,0,1,1,1,1,1,5
144,0,1,1,1,1,1,5
204,0,1,1,1,1,1,5
208,0,1,0,0,0,0,1
274,0,0,1,0,1,0,2
295,0,1,1,0,1,1,4
457,0,1,1,1,1,1,5
542,1,1,1,1,1,1,6
548,0,1,0,1,0,0,2
585,0,1,1,1,1,1,5
845,0,1,0,0,0,0,1
925,0,1,1,1,1,1,5
