seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
4,0,1,0,0,0,0,1
62,1,1,1,1,1,1,6
102,1,1,1,1,1,1,6
107,0,1,0,0,0,0,1
137,0,1,1,1,1,1,5
144,0,1,0,1,0,1,3
158,0,1,0,1,0,1,3
188,0,1,0,0,0,0,1
194,0,1,1,1,1,1,5
204,0,0,1,0,1,1,3
208,1,1,1,1,1,1,6
213,0,1,1,1,1,1,5
295,0,1,0,0,0,0,1
425,0,1,0,0,0,0,1
457,0,1,0,0,0,0,1
526,0,1,1,1,1,1,5
542,1,1,1,1,1,1,6
548,0,1,1,1,1,1,5
585,0,1,0,0,0,0,1
845,0,1,0,0,0,0,1
851,0,1,0,0,0,0,1
860,0,1,1,0,1,0,3
925,0,0,1,1,1,1,4
966,0,1,0,0,0,0,1
