seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
4,0,1,0,0,0,0,1
32,0,1,1,1,1,1,5
62,1,1,1,1,1,1,6
95,0,1,0,1,0,0,2
102,1,1,1,1,1,1,6
107,0,1,1,1,1,1,5
112,0,1,1,1,1,1,5
137,1,1,1,1,1,1,6
144,0,1,1,1,1,1,5
188,0,1,0,0,0,0,1
194,0,0,1,1,1,1,4
204,0,1,1,1,1,1,5
208,1,1,1,1,1,1,6
295,0,1,0,0,0,0,1
425,0,1,0,1,0,0,2
439,0,1,0,0,0,0,1
457,0,1,0,0,0,0,1
542,1,1,1,1,1,1,6
548,0,1,1,1,1,1,5
569,0,0,1,0,1,0,2
585,0,1,0,0,0,0,1
801,0,1,0,1,0,1,3
845,0,1,0,0,0,0,1
860,0,1,1,0,1,0,3
925,0,1,1,1,1,1,5
946,0,0,0,1,0,0,1
966,0,1,0,1,0,1,3
973,0,0,0,1,0,0,1
