seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
3,0,0,1,0,1,0,2
4,0,1,0,0,0,0,1
40,0,0,1,0,1,0,2
62,1,1,1,1,1,1,6
102,1,1,1,1,1,1,6
107,0,1,0,0,0,0,1
112,0,1,0,1,0,0,2
137,1,1,1,1,1,1,6
144,0,1,0,1,0,1,3
158,0,1,0,1,0,1,3
188,0,1,0,1,0,0,2
194,0,1,1,1,1,1,5
204,0,1,0,1,0,0,2
208,1,1,1,1,1,1,6
213,0,1,1,1,1,1,5
295,0,1,0,0,0,0,1
361,0,0,1,0,1,0,2
425,0,1,0,1,0,0,2
457,0,1,1,1,1,1,5
526,0,1,1,1,1,1,5
542,1,1,1,1,1,1,6
548,0,1,1,1,1,1,5
585,0,1,0,0,0,0,1
602,0,1,0,0,0,0,1
801,0,1,1,1,1,1,5
845,0,1,0,0,0,0,1
860,0,1,0,0,0,0,1
925,0,1,1,1,1,1,5
966,0,1,0,1,0,1,3
