seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,1,1,1,1,5
3,1,1,1,1,1,1,6
32,0,0,1,1,1,1,4
35,1,1,1,1,1,1,6
40,0,1,1,1,1,1,5
42,1,1,1,1,1,1,6
62,1,1,1,0,1,1,5
63,0,0,1,0,1,1,3
92,1,1,0,0,0,0,2
144,1,1,1,1,1,1,6
158,1,1,0,0,0,0,2
162,1,1,1,1,1,1,6
194,1,1,1,1,1,1,6
200,0,0,1,0,1,0,2
205,0,1,0,1,0,0,2
213,0,1,0,0,0,0,1
261,1,1,1,1,1,1,6
295,1,1,1,1,1,1,6
298,0,1,0,1,0,1,3
302,1,0,0,0,0,0,1
425,1,1,1,1,1,1,6
439,1,0,1,1,1,1,5
457,0,1,0,0,0,0,1
526,1,1,1,1,1,1,6
528,1,1,1,1,1,1,6
552,1,1,0,0,0,0,2
602,1,1,1,1,1,1,6
616,0,0,1,1,1,1,4
632,1,1,1,1,1,1,6
835,1,1,1,0,1,0,4
851,0,1,1,1,1,1,5
888,0,0,0,1,0,1,2
891,0,0,0,1,0,1,2
914,1,1,1,1,1,1,6
925,0,1,0,1,0,1,3
935,1,1,1,1,1,1,6
942,0,1,0,0,0,0,1
946,0,1,1,0,1,0,3
951,1,1,0,1,0,1,4
977,0,1,0,0,0,0,1
