seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
3,1,1,0,0,0,0,2
32,0,0,1,1,1,1,4
42,1,1,0,0,0,0,2
92,1,1,0,0,0,0,2
144,1,1,1,1,1,1,6
158,1,1,0,0,0,0,2
162,1,1,1,1,1,1,6
194,1,1,0,1,0,1,4
200,0,0,1,0,1,0,2
205,0,1,0,0,0,0,1
213,0,1,0,0,0,0,1
261,1,1,1,1,1,1,6
295,0,0,1,0,1,0,2
298,0,1,0,1,0,1,3
302,1,0,0,0,0,0,1
381,1,1,1,1,1,1,6
425,1,1,1,1,1,1,6
439,1,0,1,1,1,1,5
457,0,1,0,0,0,0,1
526,0,1,0,0,0,0,1
528,1,1,1,1,1,1,6
552,1,1,0,0,0,0,2
602,1,1,0,1,0,1,4
835,1,1,1,0,1,1,5
851,1,1,1,1,1,1,6
860,1,0,1,0,1,1,4
891,0,0,1,1,1,1,4
914,1,1,1,1,1,1,6
925,0,1,0,0,0,0,1
935,1,1,1,1,1,1,6
942,0,1,0,0,0,0,1
966,1,1,0,0,0,0,2
977,0,1,0,0,0,0,1
