seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
4,0,1,0,1,0,0,2
32,0,0,1,1,1,1,4
35,1,1,1,1,1,1,6
40,1,1,1,1,1,1,6
42,0,1,0,0,0,0,1
62,1,0,0,0,0,0,1
63,0,1,0,1,0,0,2
92,1,1,0,0,0,0,2
144,1,1,1,1,1,1,6
158,1,1,1,0,1,0,4
162,1,1,1,1,1,1,6
180,1,1,1,1,1,1,6
188,0,1,1,1,1,1,5
194,1,1,1,1,1,1,6
200,1,1,1,0,1,0,4
205,0,1,0,1,0,0,2
213,0,1,0,1,0,1,3
261,1,1,1,1,1,1,6
295,1,1,1,1,1,1,6
298,1,1,1,1,1,1,6
318,1,1,1,1,1,1,6
425,1,1,1,1,1,1,6
439,1,1,1,1,1,1,6
471,0,1,0,1,0,1,3
526,0,1,0,1,0,0,2
528,1,1,1,1,1,1,6
561,1,0,0,0,0,0,1
569,1,0,0,0,0,0,1
571,1,1,1,1,1,1,6
602,1,1,1,1,1,1,6
616,0,0,1,1,1,1,4
632,1,1,1,1,1,1,6
695,1,1,0,1,0,0,3
835,1,1,0,0,0,0,2
845,0,1,0,0,0,0,1
851,0,1,1,1,1,1,5
860,1,0,0,0,0,0,1
888,0,0,0,1,0,0,1
914,1,0,1,1,1,1,5
925,0,1,0,1,0,1,3
929,1,1,0,0,0,0,2
935,0,1,1,1,1,1,5
955,0,1,0,0,0,0,1
