seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
102,1,1,1,1,1,1,6
107,0,1,0,0,0,0,1
144,1,1,1,1,1,1,6
158,0,1,0,0,0,0,1
204,1,1,1,1,1,1,6
208,1,1,1,1,1,1,6
274,0,1,0,0,0,0,1
285,1,1,1,1,1,1,6
286,0,1,1,0,1,1,4
295,0,1,0,0,0,0,1
302,0,1,0,0,0,0,1
318,0,0,1,1,1,1,4
361,0,1,0,0,0,0,1
420,0,1,0,1,0,1,3
425,0,0,1,1,1,1,4
431,0,1,0,0,0,0,1
457,1,1,1,1,1,1,6
498,1,1,1,1,1,1,6
504,0,1,1,1,1,1,5
552,0,1,1,0,1,1,4
569,0,1,1,0,1,0,3
592,0,1,0,0,0,0,1
632,0,0,1,0,1,0,2
661,1,1,1,1,1,1,6
706,0,1,1,0,1,0,3
801,0,1,0,0,0,0,1
810,1,1,1,1,1,1,6
884,0,1,0,0,0,0,1
891,1,1,1,1,1,1,6
894,0,1,1,1,1,1,5
925,0,1,0,0,0,0,1
951,0,0,1,0,1,0,2
955,0,0,0,1,0,1,2
966,0,1,1,0,1,1,4
973,0,1,0,0,0,0,1
