seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
35,0,1,0,0,0,0,1
102,0,0,1,1,1,1,4
105,0,1,0,0,0,0,1
144,1,1,1,1,1,1,6
200,0,1,1,1,1,1,5
204,1,1,1,1,1,1,6
208,1,1,1,1,1,1,6
274,0,1,0,0,0,0,1
285,0,1,1,1,1,1,5
286,1,1,1,1,1,1,6
295,0,1,0,0,0,0,1
302,0,1,1,1,1,1,5
361,0,1,0,0,0,0,1
420,0,1,0,1,0,1,3
425,0,1,1,0,1,0,3
431,0,1,0,0,0,0,1
457,1,1,0,1,0,1,4
498,1,1,1,1,1,1,6
504,1,1,1,1,1,1,6
552,1,1,1,1,1,1,6
569,0,1,1,1,1,1,5
592,0,1,0,0,0,0,1
661,1,1,0,0,0,0,2
706,1,1,1,1,1,1,6
801,0,1,0,0,0,0,1
810,0,1,0,1,0,1,3
845,0,1,0,0,0,0,1
851,0,1,0,0,0,0,1
884,0,1,0,0,0,0,1
891,1,1,1,1,1,1,6
894,0,1,1,1,1,1,5
925,0,1,0,0,0,0,1
942,0,1,0,0,0,0,1
951,0,1,1,1,1,1,5
955,0,1,0,1,0,1,3
966,1,1,1,1,1,1,6
973,0,0,1,0,1,0,2
