seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
3,0,1,0,1,0,0,2
4,0,1,0,0,0,0,1
32,0,1,1,1,1,1,5
35,0,1,1,1,1,1,5
59,1,1,1,1,1,1,6
62,0,1,0,0,0,0,1
92,1,1,1,1,1,1,6
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
128,0,1,0,0,0,0,1
144,1,1,1,1,1,1,6
162,0,1,1,1,1,1,5
180,0,1,0,0,0,0,1
188,1,1,0,0,0,0,2
194,0,1,0,0,0,0,1
204,0,1,0,0,0,0,1
205,0,1,0,0,0,0,1
208,1,1,1,1,1,1,6
213,0,1,0,0,0,0,1
274,0,1,1,1,1,1,5
285,0,1,1,1,1,1,5
286,1,1,0,0,0,0,2
302,1,1,1,1,1,1,6
318,0,1,0,1,0,0,2
361,1,1,1,0,1,0,4
383,0,1,0,0,0,0,1
425,1,1,1,1,1,1,6
439,1,1,1,1,1,1,6
457,0,1,0,0,0,0,1
471,0,1,0,1,0,1,3
498,1,1,1,1,1,1,6
504,0,1,0,1,0,0,2
561,0,1,1,1,1,1,5
571,0,1,1,1,1,1,5
592,1,1,1,1,1,1,6
632,1,1,1,1,1,1,6
661,0,1,0,1,0,1,3
695,0,1,0,0,0,0,1
706,0,1,0,1,0,0,2
801,0,1,0,1,0,0,2
810,0,1,0,1,0,1,3
845,0,1,0,1,0,0,2
851,0,1,0,0,0,0,1
860,0,1,1,1,1,1,5
884,0,1,0,1,0,1,3
888,0,0,0,1,0,0,1
894,1,1,1,1,1,1,6
914,1,1,0,0,0,0,2
925,0,1,0,1,0,1,3
929,1,1,1,1,1,1,6
966,0,1,0,1,0,0,2
973,1,1,1,1,1,1,6
