seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
3,0,1,1,1,1,1,5
4,0,1,0,1,0,1,3
32,1,1,1,1,1,1,6
35,0,0,0,1,0,1,2
40,0,1,0,0,0,0,1
42,0,1,0,1,0,1,3
59,0,1,1,1,1,1,5
63,0,1,0,1,0,1,3
92,0,1,1,1,1,1,5
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
128,0,1,0,0,0,0,1
144,1,1,1,1,1,1,6
162,0,1,0,1,0,1,3
180,0,1,0,0,0,0,1
194,0,1,0,1,0,1,3
200,0,1,0,1,0,1,3
208,1,1,1,1,1,1,6
213,0,1,0,0,0,0,1
285,1,1,1,1,1,1,6
286,0,1,1,1,1,1,5
295,0,1,0,0,0,0,1
302,0,1,0,0,0,0,1
318,0,1,0,1,0,0,2
420,0,1,1,1,1,1,5
425,0,1,1,1,1,1,5
457,0,1,0,0,0,0,1
471,0,1,1,1,1,1,5
498,1,1,1,1,1,1,6
504,0,1,0,1,0,1,3
526,0,1,1,1,1,1,5
528,0,1,0,0,0,0,1
561,0,1,0,1,0,1,3
571,1,1,1,1,1,1,6
585,0,0,0,1,0,0,1
592,1,1,1,1,1,1,6
602,1,1,1,1,1,1,6
632,0,0,0,1,0,0,1
706,0,1,0,1,0,1,3
801,0,1,0,1,0,0,2
810,1,1,1,1,1,1,6
834,0,0,0,1,0,1,2
845,0,1,0,0,0,0,1
851,1,1,1,0,1,0,4
860,1,1,0,1,0,1,4
884,0,1,0,1,0,1,3
888,0,1,0,1,0,1,3
891,1,1,1,1,1,1,6
894,1,1,1,1,1,1,6
914,0,1,1,1,1,1,5
925,0,1,0,0,0,0,1
929,1,1,1,1,1,1,6
942,0,1,0,1,0,1,3
966,0,1,0,1,0,1,3
973,1,1,1,1,1,1,6
