seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
3,0,1,0,0,0,0,1
35,0,0,1,1,1,1,4
40,0,1,1,1,1,1,5
62,0,1,0,1,0,0,2
95,0,1,0,1,0,0,2
105,0,1,0,0,0,0,1
128,0,0,1,0,1,0,2
137,0,1,0,1,0,1,3
158,0,1,1,1,1,1,5
162,0,1,1,1,1,1,5
188,0,1,1,1,1,1,5
204,0,1,1,1,1,1,5
208,0,1,0,1,0,1,3
213,1,1,1,1,1,1,6
274,0,1,0,0,0,0,1
285,0,1,1,1,1,1,5
286,0,1,1,1,1,1,5
295,1,1,1,1,1,1,6
318,0,1,0,1,0,1,3
383,0,1,0,0,0,0,1
395,0,0,0,1,0,0,1
411,0,1,0,1,0,0,2
439,0,1,0,0,0,0,1
457,0,1,0,1,0,0,2
498,0,1,0,1,0,1,3
526,0,1,1,1,1,1,5
542,1,1,1,1,1,1,6
548,0,1,0,1,0,1,3
561,0,1,0,1,0,1,3
569,0,1,1,1,1,1,5
571,0,1,0,1,0,0,2
602,0,1,0,0,0,0,1
632,0,0,0,1,0,0,1
661,0,1,1,1,1,1,5
706,0,1,0,1,0,0,2
834,0,1,0,1,0,0,2
845,0,1,0,0,0,0,1
851,0,1,0,0,0,0,1
860,0,1,0,0,0,0,1
891,1,1,0,1,0,1,4
914,0,1,0,0,0,0,1
925,1,1,1,1,1,1,6
929,0,1,0,1,0,1,3
935,0,1,0,0,0,0,1
951,0,1,0,0,0,0,1
973,0,1,1,1,1,1,5
977,0,0,1,1,1,1,4
