seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,1,0,1,1,4
3,0,1,0,0,0,0,1
9,0,1,1,1,1,1,5
102,0,1,0,0,0,0,1
107,0,1,0,0,0,0,1
137,0,1,0,0,0,0,1
158,0,1,1,1,1,1,5
188,0,1,0,0,0,0,1
208,0,1,1,1,1,1,5
213,0,1,1,1,1,1,5
274,1,1,1,1,1,1,6
285,0,1,1,1,1,1,5
318,0,1,0,0,0,0,1
361,0,1,0,1,0,0,2
395,0,1,1,1,1,1,5
411,0,1,1,1,1,1,5
439,0,1,0,0,0,0,1
457,0,0,1,0,1,1,3
526,0,1,0,0,0,0,1
542,1,1,1,1,1,1,6
548,0,1,0,0,0,0,1
552,0,1,0,0,0,0,1
569,0,1,1,1,1,1,5
571,0,1,1,1,1,1,5
632,0,1,1,1,1,1,5
661,0,1,1,1,1,1,5
834,1,1,1,1,1,1,6
851,1,1,1,1,1,1,6
884,0,1,0,0,0,0,1
888,1,1,0,0,0,0,2
891,1,1,1,1,1,1,6
914,0,1,0,0,0,0,1
929,1,1,1,1,1,1,6
935,0,1,0,0,0,0,1
