seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,1,1,1,1,5
9,0,1,0,1,0,0,2
107,0,1,0,1,0,1,3
112,0,1,0,0,0,0,1
137,0,1,1,1,1,1,5
144,0,1,0,0,0,0,1
158,0,1,1,1,1,1,5
162,0,1,0,0,0,0,1
208,0,1,1,1,1,1,5
213,1,1,1,1,1,1,6
274,0,1,0,1,0,0,2
285,1,1,1,1,1,1,6
318,0,1,0,0,0,0,1
411,0,1,1,1,1,1,5
431,0,0,1,0,1,1,3
439,0,1,0,0,0,0,1
457,0,1,1,1,1,1,5
498,0,1,0,1,0,1,3
542,1,1,1,1,1,1,6
548,0,1,0,1,0,0,2
552,0,1,1,1,1,1,5
569,0,1,1,1,1,1,5
571,0,1,0,1,0,0,2
616,0,0,1,0,1,1,3
632,0,1,0,1,0,0,2
661,0,1,1,1,1,1,5
834,1,1,1,1,1,1,6
845,0,1,0,0,0,0,1
851,0,1,0,0,0,0,1
891,0,1,1,1,1,1,5
914,0,1,0,0,0,0,1
929,0,0,1,1,1,1,4
935,0,1,0,1,0,0,2
973,0,1,0,0,0,0,1
