seed,1-precision,1-f1,2-precision,2-f1,3-precision,3-f1,grf
2,0.22535211267605634,0.15440289505428226,0.59375,0.24836601307189543,0.59375,0.39999999999999997,0.19291372856009414
3,0.09615384615384616,0.0505050505050505,0.2,0.0662251655629139,0.2,0.17543859649122806,0.20935015960081504
4,0.10220994475138122,0.0659536541889483,0.2608695652173913,0.1081081081081081,0.2608695652173913,0.24742268041237112,0.16786017632811256
9,0.0,0.0,0.0,0.0,0.0,0.0,0.20415386148517634
32,0.18421052631578946,0.05668016194331983,0.5,0.2,0.5,0.45161290322580644,0.18261458617107562
35,0.3942307692307692,0.2322946175637394,0.5161290322580645,0.20645161290322578,0.5161290322580645,0.4507042253521127,0.1567829676804966
42,0.17567567567567569,0.07624633431085044,0.375,0.12903225806451613,0.375,0.3636363636363636,0.2400149639661192
59,0.25,0.06896551724137932,0.7142857142857143,0.3448275862068965,0.7142857142857143,0.6666666666666666,0.248991048156746
62,0.2608695652173913,0.125,0.25862068965517243,0.19230769230769232,0.25862068965517243,0.3370786516853933,0.20192959450921644
63,0.10514541387024609,0.09016786570743406,0.38028169014084506,0.11688311688311687,0.38028169014084506,0.26732673267326734,0.16801897631187357
92,0.15384615384615385,0.08791208791208792,0.2553191489361702,0.1212121212121212,0.2553191489361702,0.28571428571428575,0.16352098431988416
95,0.0975609756097561,0.06874328678839957,0.38461538461538464,0.10582010582010583,0.38461538461538464,0.3703703703703704,0.1847406150410652
102,0.6666666666666666,0.11347517730496454,0.75,0.2857142857142857,0.75,0.6666666666666665,0.23887650215446732
107,1.0,0.15286624203821655,1.0,0.21052631578947367,1.0,0.888888888888889,0.16783502508882264
112,0.08823529411764706,0.022304832713754646,0.2727272727272727,0.07692307692307691,0.2727272727272727,0.3157894736842105,0.196096419885597
128,0.5,0.08823529411764706,0.5,0.19047619047619047,0.5,0.4,0.23537721547493473
137,0.06473214285714286,0.04734693877551021,0.19148936170212766,0.08294930875576036,0.19148936170212766,0.14754098360655737,0.20368279729893546
144,0.8240740740740741,0.37632135306553915,0.8823529411764706,0.37037037037037035,0.8823529411764706,0.6976744186046512,0.20379612308746886
158,0.2222222222222222,0.07373271889400922,0.4166666666666667,0.19999999999999998,0.4166666666666667,0.3846153846153846,0.1447915554923781
162,0.32142857142857145,0.144,0.47619047619047616,0.2777777777777778,0.47619047619047616,0.5128205128205129,0.2619663277487737
180,0.14583333333333334,0.056910569105691054,0.2631578947368421,0.136986301369863,0.2631578947368421,0.35714285714285715,0.16871858897389957
194,0.41898148148148145,0.32760180995475113,0.9714285714285714,0.33333333333333337,0.9714285714285714,0.7311827956989247,0.1837104578754889
200,0.24175824175824176,0.14789915966386552,0.53125,0.23943661971830985,0.53125,0.5151515151515151,0.17985593930535337
204,0.9090909090909091,0.25,0.8,0.3478260869565218,0.8,0.7272727272727272,0.17666822254281822
205,0.13725490196078433,0.07939508506616258,0.22641509433962265,0.10000000000000002,0.22641509433962265,0.2376237623762376,0.16204460463173198
208,0.875,0.1879194630872483,0.7142857142857143,0.5555555555555556,0.7142857142857143,0.6666666666666666,0.2704613007262464
261,0.16666666666666666,0.0353356890459364,0.2,0.0588235294117647,0.2,0.17391304347826086,0.15471982126168748
274,0.15384615384615385,0.03463203463203463,0.4,0.11594202898550726,0.4,0.3333333333333333,0.1790589654644167
285,0.4,0.06837606837606837,0.5,0.1818181818181818,0.5,0.6,0.2155263843317392
286,0.6666666666666666,0.24615384615384617,0.7058823529411765,0.2424242424242424,0.7058823529411765,0.7272727272727272,0.2069672622118124
295,0.4274193548387097,0.1962962962962963,0.36666666666666664,0.17886178861788618,0.36666666666666664,0.423076923076923,0.19388686347027217
298,0.21052631578947367,0.06611570247933884,0.4166666666666667,0.1724137931034483,0.4166666666666667,0.3448275862068966,0.212535049041486
302,0.3225806451612903,0.125,0.4090909090909091,0.21176470588235294,0.4090909090909091,0.4090909090909091,0.23835828328905262
318,0.21019108280254778,0.1733800350262697,0.5684210526315789,0.21218074656188604,0.5684210526315789,0.5,0.17282284760398203
361,1.0,0.09756097560975609,1.0,0.33333333333333337,1.0,0.7499999999999999,0.22996537616040336
395,0.44936708860759494,0.19860139860139864,0.4772727272727273,0.19004524886877827,0.4772727272727273,0.5,0.16763731415898786
411,0.2798507462686567,0.17241379310344826,0.3333333333333333,0.16170212765957448,0.3333333333333333,0.31932773109243695,0.16845101788338168
420,0.021739130434782608,0.0091324200913242,0.08333333333333333,0.028571428571428574,0.08333333333333333,0.11764705882352941,0.2138910990806353
425,0.4117647058823529,0.1339712918660287,0.6666666666666666,0.3529411764705882,0.6666666666666666,0.75,0.3062853608072751
431,0.125,0.02531645569620253,0.25,0.125,0.25,0.23529411764705882,0.23742831529215136
439,0.15,0.024590163934426226,0.2,0.04444444444444445,0.2,0.14285714285714285,0.13612766472998983
457,0.5319148936170213,0.2358490566037736,0.44,0.18803418803418803,0.44,0.5,0.2223271240892999
471,0.3282208588957055,0.20716360116166505,0.38961038961038963,0.19480519480519481,0.38961038961038963,0.37974683544303794,0.17244075994618102
498,1.0,0.27777777777777773,1.0,0.32258064516129037,1.0,0.7692307692307693,0.25356878515567094
504,0.7954545454545454,0.24475524475524474,0.8333333333333334,0.3636363636363636,0.8333333333333334,0.7692307692307692,0.1690700325066311
526,0.18421052631578946,0.10710382513661201,0.3582089552238806,0.16724738675958187,0.3582089552238806,0.39024390243902435,0.16404276777094995
528,0.24468085106382978,0.11528822055137845,0.4230769230769231,0.2222222222222222,0.4230769230769231,0.4074074074074074,0.2165632731244731
542,0.13636363636363635,0.0502092050209205,0.25,0.1,0.25,0.23529411764705882,0.1875732581796994
548,0.0,0.0,0.0,0.0,0.0,0.0,0.21647588522588523
552,0.3380281690140845,0.16842105263157894,0.3684210526315789,0.1728395061728395,0.3684210526315789,0.36363636363636365,0.16234311583475913
561,0.11029411764705882,0.0551470588235294,0.3793103448275862,0.14102564102564102,0.3793103448275862,0.4074074074074074,0.17031660092336254
569,0.15476190476190477,0.07715133531157271,0.17543859649122806,0.1020408163265306,0.17543859649122806,0.21978021978021978,0.18773766658426994
585,0.14754098360655737,0.06122448979591837,0.30303030303030304,0.11299435028248588,0.30303030303030304,0.3508771929824562,0.18633886340931116
592,0.5,0.06849315068493152,0.6666666666666666,0.2285714285714286,0.6666666666666666,0.6666666666666666,0.17915726521878084
602,0.4583333333333333,0.2087781731909846,0.5714285714285714,0.19649122807017544,0.5714285714285714,0.5656565656565656,0.16214914351147236
