seed,1-precision,1-f1,2-precision,2-f1,3-precision,3-f1,grf
2,0.35039370078740156,0.2227784730913642,0.5641025641025641,0.27499999999999997,0.5641025641025641,0.4313725490196078,0.19350198977567812
3,0.15217391304347827,0.07291666666666666,0.40625,0.16455696202531644,0.40625,0.40625,0.2116563425092517
4,0.2518248175182482,0.13346228239845262,0.2916666666666667,0.16935483870967744,0.2916666666666667,0.34146341463414637,0.17749702590447392
9,0.0,0.0,0.0,0.0,0.0,0.0,0.20415386148517634
32,0.18421052631578946,0.05668016194331983,0.5,0.2,0.5,0.45161290322580644,0.18261458617107562
35,0.5606060606060606,0.3189655172413793,0.6578947368421053,0.3086419753086419,0.6578947368421053,0.6410256410256411,0.1783650379190138
42,0.3076923076923077,0.10031347962382446,0.3888888888888889,0.1473684210526316,0.3888888888888889,0.39999999999999997,0.23795739431599305
59,0.15,0.041379310344827586,0.6,0.22222222222222218,0.6,0.4615384615384615,0.23063625696312817
62,0.10256410256410256,0.05387205387205387,0.3023255813953488,0.18439716312056736,0.3023255813953488,0.3513513513513513,0.20061357056714246
63,0.07114624505928854,0.06536541080344983,0.26153846153846155,0.07456140350877193,0.26153846153846155,0.173469387755102,0.1669383026923542
92,0.2916666666666667,0.1696969696969697,0.5416666666666666,0.26130653266331655,0.5416666666666666,0.611764705882353,0.17486371592494743
95,0.26842105263157895,0.12862547288776796,0.4222222222222222,0.18269230769230765,0.4222222222222222,0.5205479452054794,0.20473300784135118
102,0.6666666666666666,0.11347517730496454,0.75,0.2857142857142857,0.75,0.6666666666666665,0.23887650215446732
107,1.0,0.15286624203821655,1.0,0.21052631578947367,1.0,0.888888888888889,0.16783502508882264
112,0.9166666666666666,0.24354243542435425,0.7777777777777778,0.1842105263157895,0.7777777777777778,0.823529411764706,0.20501016322615118
128,0.5,0.08823529411764706,0.5,0.19047619047619047,0.5,0.4,0.23537721547493473
137,0.0022988505747126436,0.0024286581663630845,0.06666666666666667,0.02,0.06666666666666667,0.0380952380952381,0.20434956533165982
144,0.9583333333333334,0.4742268041237113,0.95,0.45238095238095244,0.95,0.8260869565217392,0.20763464827171818
158,0.058823529411764705,0.018604651162790697,0.2222222222222222,0.0851063829787234,0.2222222222222222,0.17391304347826086,0.13818583722430522
162,0.35106382978723405,0.17142857142857143,0.6666666666666666,0.38888888888888895,0.6666666666666666,0.717948717948718,0.3295842236595412
180,0.18421052631578946,0.05932203389830508,0.2857142857142857,0.11764705882352941,0.2857142857142857,0.34782608695652173,0.15287932673028037
194,0.6242236024844721,0.4040201005025125,0.7543859649122807,0.38053097345132747,0.7543859649122807,0.7478260869565219,0.19288061864807726
200,0.014492753623188406,0.011611030478955009,0.2,0.061538461538461535,0.2,0.14814814814814817,0.1837691206491765
204,0.25,0.07407407407407408,0.375,0.13636363636363638,0.375,0.3,0.18967411983256333
205,0.2808219178082192,0.15708812260536398,0.3968253968253968,0.2,0.3968253968253968,0.4504504504504504,0.1775654240019876
208,0.25,0.06535947712418301,0.4,0.25000000000000006,0.4,0.3076923076923077,0.31105142947299425
261,0.1,0.02120141342756184,0.1,0.02941176470588235,0.1,0.08695652173913043,0.15281259331647046
274,0.125,0.026200873362445413,0.375,0.08955223880597016,0.375,0.2727272727272727,0.17542105899877225
285,0.4,0.06837606837606837,0.5,0.1818181818181818,0.5,0.6,0.2155263843317392
286,0.42592592592592593,0.14420062695924765,0.3,0.11764705882352941,0.3,0.33333333333333326,0.18552872194505454
295,0.007042253521126761,0.0035842293906810044,0.041666666666666664,0.017094017094017096,0.041666666666666664,0.043478260869565216,0.18869545168301705
298,0.21052631578947367,0.06611570247933884,0.4166666666666667,0.1724137931034483,0.4166666666666667,0.3448275862068966,0.212535049041486
302,0.36363636363636365,0.14814814814814814,0.42105263157894735,0.1951219512195122,0.42105263157894735,0.3902439024390244,0.23932468997652379
318,0.4344262295081967,0.27151639344262296,0.59375,0.2804428044280443,0.59375,0.610441767068273,0.17701820614874697
361,1.0,0.09756097560975609,1.0,0.33333333333333337,1.0,0.7499999999999999,0.22996537616040336
395,0.0,0.0,0.0,0.0,0.0,0.0,0.15654691170225332
411,0.2225609756097561,0.15698924731182798,0.4791666666666667,0.20353982300884957,0.4791666666666667,0.4181818181818182,0.17037855861172646
420,0.02631578947368421,0.009478672985781991,0.07142857142857142,0.027777777777777776,0.07142857142857142,0.10526315789473682,0.20336627037258093
425,0.39473684210526316,0.1408450704225352,0.6666666666666666,0.3529411764705882,0.6666666666666666,0.75,0.340240091802699
431,0.16666666666666666,0.0375,0.42857142857142855,0.19354838709677416,0.42857142857142855,0.375,0.20732457932406678
439,0.15,0.024590163934426226,0.2,0.04444444444444445,0.2,0.14285714285714285,0.13572098905735663
457,0.5930232558139535,0.24519230769230768,0.5,0.20689655172413793,0.5,0.5581395348837209,0.2371269077988798
471,0.2383177570093458,0.17973568281938326,0.29411764705882354,0.18018018018018017,0.29411764705882354,0.3278688524590164,0.1871889212784782
498,1.0,0.27777777777777773,1.0,0.32258064516129037,1.0,0.7692307692307693,0.25356878515567094
504,0.9,0.30821917808219174,0.75,0.32727272727272727,0.75,0.6923076923076924,0.16994976658157024
526,0.17434210526315788,0.11122770199370408,0.375,0.16901408450704225,0.375,0.39999999999999997,0.16562092578727494
528,0.1875,0.08977556109725687,0.38461538461538464,0.202020202020202,0.38461538461538464,0.3703703703703704,0.2177462181264176
542,0.21666666666666667,0.1019607843137255,0.34782608695652173,0.13445378151260504,0.34782608695652173,0.31999999999999995,0.1880585774211344
548,0.0,0.0,0.0,0.0,0.0,0.0,0.21647588522588523
552,0.07377049180327869,0.03272727272727272,0.2647058823529412,0.1139240506329114,0.2647058823529412,0.24657534246575344,0.1725421942631743
561,0.2672413793103448,0.11832061068702288,0.5625,0.22641509433962265,0.5625,0.631578947368421,0.17194762098577387
569,0.06521739130434782,0.034782608695652174,0.15555555555555556,0.07608695652173914,0.15555555555555556,0.17721518987341772,0.18888091787514172
585,0.0125,0.006389776357827477,0.08,0.02366863905325444,0.08,0.08163265306122448,0.18552121058998527
592,0.5,0.06849315068493152,0.6666666666666666,0.2285714285714286,0.6666666666666666,0.6666666666666666,0.17915726521878084
602,0.027972027972027972,0.017075773745997863,0.17142857142857143,0.044280442804428055,0.17142857142857143,0.1411764705882353,0.16023152301878496
616,0.19696969696969696,0.12293144208037825,0.4318181818181818,0.18181818181818182,0.4318181818181818,0.38,0.21422416290178803
656,0.1875,0.0392156862745098,0.42857142857142855,0.10526315789473684,0.42857142857142855,0.39999999999999997,0.18049380593940023
661,0.5833333333333334,0.12280701754385966,0.5714285714285714,0.4210526315789474,0.5714285714285714,0.6666666666666666,0.2859219957604464
695,0.21212121212121213,0.09859154929577467,0.20512820512820512,0.10884353741496598,0.20512820512820512,0.24242424242424246,0.1647127873342582
706,0.4074074074074074,0.13836477987421383,0.47058823529411764,0.20253164556962025,0.47058823529411764,0.5333333333333333,0.23133180447420165
801,0.43333333333333335,0.15757575757575756,0.5555555555555556,0.196078431372549,0.5555555555555556,0.5555555555555556,0.15940376885423047
810,0.47368421052631576,0.16666666666666669,0.75,0.3461538461538462,0.75,0.6428571428571429,0.27406813935765983
834,0.09166666666666666,0.042471042471042476,0.21428571428571427,0.0930232558139535,0.21428571428571427,0.25,0.1671883010017048
835,0.20652173913043478,0.10570236439499306,0.41304347826086957,0.22485207100591714,0.41304347826086957,0.4318181818181818,0.20201693804854226
845,0.8157894736842105,0.2672413793103448,0.75,0.3461538461538462,0.75,0.6,0.25199052906933406
851,0.75,0.22758620689655173,0.6363636363636364,0.23333333333333328,0.6363636363636364,0.6666666666666666,0.19176357404538824
860,0.1328125,0.06415094339622641,0.4583333333333333,0.14864864864864866,0.4583333333333333,0.5238095238095238,0.1751148331844108
884,0.125,0.019230769230769232,0.2857142857142857,0.09302325581395349,0.2857142857142857,0.30769230769230765,0.18162999799331103
888,0.20689655172413793,0.08450704225352113,0.34375,0.11956521739130434,0.34375,0.39285714285714285,0.19014429807366462
891,0.08571428571428572,0.029925187032418955,0.125,0.04081632653061225,0.125,0.12121212121212122,0.16195084767775314
894,0.5,0.07092198581560284,0.5,0.15384615384615385,0.5,0.42857142857142855,0.2488460491344574
914,0.803921568627451,0.33814432989690724,0.68,0.25,0.68,0.68,0.1599896601490607
925,0.9411764705882353,0.24242424242424238,0.8181818181818182,0.375,0.8181818181818182,0.7826086956521738,0.23961682902806025
929,0.5735294117647058,0.20967741935483875,0.6785714285714286,0.3486238532110092,0.6785714285714286,0.7450980392156864,0.20578282352627064
935,0.1040268456375839,0.06609808102345416,0.25,0.06779661016949153,0.25,0.2,0.17375638649362934
942,0.3333333333333333,0.20801364023870417,0.46153846153846156,0.23076923076923075,0.46153846153846156,0.4195804195804196,0.201555049230139
946,0.15363128491620112,0.1233644859813084,0.31446540880503143,0.14285714285714285,0.31446540880503143,0.3095975232198142,0.16350041653403502
951,0.0,0.0,0.0,0.0,0.0,0.0,0.14649113900593103
955,0.058823529411764705,0.017937219730941704,0.2222222222222222,0.050632911392405056,0.2222222222222222,0.19999999999999998,0.21331711856147184
966,0.48863636363636365,0.1799163179916318,0.5,0.17777777777777778,0.5,0.5581395348837209,0.1661109900531066
973,0.23684210526315788,0.11489361702127661,0.42857142857142855,0.20512820512820515,0.42857142857142855,0.42105263157894735,0.20809795833261924
977,0.5,0.10138248847926266,0.5555555555555556,0.125,0.5555555555555556,0.5263157894736842,0.22661301887696395
40,0.18258426966292135,0.1211556383970177,0.5166666666666667,0.20805369127516782,0.5166666666666667,0.5535714285714286,0.2016186534629244
105,0.0,0.0,0.0,0.0,0.0,0.0,0.20382822637536968
188,0.3469387755102041,0.1312741312741313,0.3225806451612903,0.14184397163120568,0.3225806451612903,0.41666666666666663,0.13709240998772565
213,0.20270270270270271,0.1,0.3448275862068966,0.13245033112582782,0.3448275862068966,0.30303030303030304,0.1968164756909171
381,0.37037037037037035,0.11080332409972297,0.4117647058823529,0.11965811965811966,0.4117647058823529,0.3333333333333333,0.16515218365546358
383,0.27124183006535946,0.14729370008873116,0.3103448275862069,0.19285714285714287,0.3103448275862069,0.31213872832369943,0.1835184417111364
571,0.7638888888888888,0.3259259259259259,0.7924528301886793,0.3684210526315789,0.7924528301886793,0.7777777777777778,0.19378975255054487
632,0.4837837837837838,0.2887096774193549,0.6666666666666666,0.2787456445993031,0.6666666666666666,0.6201550387596899,0.14834658737164275
