seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
3,0,1,1,1,1,1,5
35,0,0,0,1,0,1,2
40,0,0,0,1,0,0,1
42,1,1,1,1,1,1,6
59,0,1,1,1,1,1,5
63,0,1,1,1,1,1,5
92,1,1,1,1,1,1,6
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
128,1,0,0,0,0,0,1
137,0,1,1,1,1,1,5
144,1,1,1,1,1,1,6
162,0,1,0,1,0,0,2
194,0,1,0,1,0,1,3
200,0,1,1,1,1,1,5
204,0,0,1,1,1,1,4
208,1,1,1,1,1,1,6
213,0,1,0,0,0,0,1
286,0,0,0,1,0,1,2
295,0,1,0,0,0,0,1
302,0,1,0,0,0,0,1
318,0,1,0,0,0,0,1
420,1,1,1,1,1,1,6
425,0,1,1,1,1,1,5
471,1,1,1,1,1,1,6
498,1,1,1,1,1,1,6
504,1,1,1,1,1,1,6
526,0,1,1,1,1,1,5
528,0,1,0,0,0,0,1
561,1,1,1,1,1,1,6
571,1,1,1,1,1,1,6
592,1,1,1,1,1,1,6
602,1,1,1,1,1,1,6
706,0,1,0,1,0,0,2
801,0,1,0,1,0,0,2
810,1,1,1,1,1,1,6
845,1,1,0,0,0,0,2
851,1,1,1,0,1,0,4
860,1,1,1,1,1,1,6
884,0,1,0,1,0,1,3
888,0,1,0,1,0,1,3
894,1,1,1,1,1,1,6
914,1,1,1,1,1,1,6
925,1,1,1,1,1,1,6
929,1,1,1,1,1,1,6
942,1,1,1,1,1,1,6
966,0,0,0,1,0,0,1
977,1,1,1,0,1,0,4
