seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
3,1,1,1,1,1,1,6
9,1,1,0,0,0,0,2
32,1,0,0,0,0,0,1
35,0,1,1,0,1,1,4
42,0,1,0,0,0,0,1
59,0,0,1,1,1,1,4
92,0,1,1,1,1,1,5
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
144,1,1,1,1,1,1,6
194,0,1,0,0,0,0,1
200,0,1,1,1,1,1,5
204,1,1,1,1,1,1,6
208,0,1,0,0,0,0,1
274,1,1,1,1,1,1,6
286,0,0,1,0,1,0,2
295,0,1,0,0,0,0,1
425,1,1,1,1,1,1,6
439,1,1,1,1,1,1,6
498,1,1,1,1,1,1,6
526,0,0,1,0,1,0,2
706,0,1,0,0,0,0,1
801,0,1,0,0,0,0,1
810,1,1,1,1,1,1,6
851,1,1,1,0,1,0,4
860,1,1,1,1,1,1,6
884,0,1,0,0,0,0,1
888,0,0,1,1,1,1,4
894,1,1,1,1,1,1,6
914,1,1,1,1,1,1,6
925,1,1,0,0,0,0,2
951,0,1,0,0,0,0,1
977,1,1,1,1,1,1,6
