seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,1,0,1,0,3
3,0,1,0,0,0,0,1
4,0,1,0,0,0,0,1
32,1,0,1,1,1,1,5
35,1,1,1,1,1,1,6
59,0,0,1,1,1,1,4
63,0,1,1,0,1,1,4
92,0,1,1,1,1,1,5
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
137,0,1,0,0,0,0,1
144,1,1,1,1,1,1,6
162,0,1,1,1,1,1,5
188,0,1,1,0,1,0,3
200,1,1,1,1,1,1,6
204,1,1,1,1,1,1,6
205,0,1,0,0,0,0,1
208,1,1,1,1,1,1,6
213,0,0,0,1,0,0,1
274,0,1,0,0,0,0,1
286,0,0,0,1,0,1,2
295,0,1,0,0,0,0,1
298,0,1,0,0,0,0,1
318,1,1,1,1,1,1,6
395,1,1,1,1,1,1,6
425,1,1,1,1,1,1,6
457,1,1,0,0,0,0,2
471,1,1,1,1,1,1,6
498,1,1,1,1,1,1,6
504,1,1,1,1,1,1,6
526,0,0,0,1,0,1,2
561,1,1,1,1,1,1,6
571,0,1,1,1,1,1,5
706,0,1,0,0,0,0,1
801,0,1,0,0,0,0,1
810,1,1,1,1,1,1,6
845,1,1,0,0,0,0,2
851,1,1,1,0,1,0,4
860,1,1,1,1,1,1,6
884,1,1,1,1,1,1,6
888,0,0,0,1,0,1,2
891,1,1,0,0,0,0,2
894,1,1,1,1,1,1,6
914,1,1,0,0,0,0,2
925,0,1,0,0,0,0,1
929,1,1,1,1,1,1,6
942,1,1,1,1,1,1,6
951,0,1,0,0,0,0,1
955,0,1,0,1,0,1,3
973,0,1,0,0,0,0,1
977,1,1,1,1,1,1,6
