seed,1-precision,1-f1,2-precision,2-f1,3-precision,3-f1,grf
2,0.3348623853211009,0.1913499344692005,0.40350877192982454,0.25842696629213485,0.40350877192982454,0.38333333333333336,0.19172171069345934
3,0.2777777777777778,0.12411347517730495,0.3235294117647059,0.1375,0.3235294117647059,0.33333333333333337,0.21320496302605252
4,0.25961538461538464,0.15111940298507462,0.3793103448275862,0.18803418803418803,0.3793103448275862,0.40366972477064217,0.17749794596990087
9,0.5,0.025316455696202535,0.5,0.125,0.5,0.6666666666666666,0.23153168148572567
32,0.4722222222222222,0.13877551020408163,0.5882352941176471,0.273972602739726,0.5882352941176471,0.5882352941176471,0.15399995764417818
35,0.5188679245283019,0.3098591549295775,0.575,0.28048780487804875,0.575,0.575,0.16536405117486086
42,0.30303030303030304,0.12012012012012012,0.4444444444444444,0.23076923076923075,0.4444444444444444,0.5454545454545455,0.21598137711142584
59,0.15,0.041379310344827586,0.6,0.22222222222222218,0.6,0.4615384615384615,0.23063625696312817
62,0.30714285714285716,0.14878892733564011,0.39473684210526316,0.22058823529411767,0.39473684210526316,0.43478260869565216,0.22802704939738383
63,0.2448559670781893,0.1419200954084675,0.3728813559322034,0.17288801571709234,0.3728813559322034,0.35341365461847385,0.17722341338984104
92,0.28431372549019607,0.14702154626108999,0.3709677419354839,0.215962441314554,0.3709677419354839,0.46464646464646464,0.17464503802111164
95,0.34523809523809523,0.15045395590142674,0.4222222222222222,0.18269230769230765,0.4222222222222222,0.5205479452054794,0.2048431010359667
102,0.5833333333333334,0.09929078014184396,0.75,0.2857142857142857,0.75,0.6666666666666665,0.2371244446881241
107,1.0,0.15286624203821655,1.0,0.21052631578947367,1.0,0.888888888888889,0.16783502508882264
112,0.8529411764705882,0.21561338289962825,0.6666666666666666,0.15789473684210525,0.6666666666666666,0.7058823529411765,0.20177752574773022
128,0.8,0.11940298507462686,0.8333333333333334,0.4347826086956522,0.8333333333333334,0.8333333333333334,0.24085402891093166
137,0.3898305084745763,0.2440318302387268,0.45454545454545453,0.2834008097165992,0.45454545454545453,0.46052631578947373,0.22833382474552888
144,0.1875,0.07809110629067245,0.2608695652173913,0.13793103448275862,0.2608695652173913,0.24489795918367346,0.20242812476555172
158,0.40625,0.12206572769953052,0.6363636363636364,0.2857142857142857,0.6363636363636364,0.56,0.14596712673950973
162,0.19444444444444445,0.07713498622589532,0.34782608695652173,0.21621621621621623,0.34782608695652173,0.3902439024390244,0.3241381197007047
180,0.20454545454545456,0.0743801652892562,0.5,0.1818181818181818,0.5,0.5714285714285715,0.17903562465282707
194,0.134375,0.08660624370594158,0.39622641509433965,0.1891891891891892,0.39622641509433965,0.37837837837837834,0.201320885782578
200,0.4264705882352941,0.21129326047358835,0.4523809523809524,0.25,0.4523809523809524,0.5,0.18250906534498035
204,0.2727272727272727,0.07500000000000001,0.5,0.2173913043478261,0.5,0.45454545454545453,0.16510888256551204
205,0.32142857142857145,0.1744186046511628,0.38181818181818183,0.17355371900826447,0.38181818181818183,0.4077669902912621,0.18575618553624074
208,1.0,0.26143790849673204,1.0,0.7777777777777778,1.0,0.9333333333333333,0.3230130690292392
261,0.6,0.12720848056537104,0.5333333333333333,0.21917808219178084,0.5333333333333333,0.5714285714285715,0.1843670709459997
274,0.5,0.09691629955947136,0.6666666666666666,0.1764705882352941,0.6666666666666666,0.5217391304347826,0.1739837552703284
285,0.4,0.06837606837606837,0.5,0.1818181818181818,0.5,0.6,0.2155263843317392
286,0.16666666666666666,0.06646525679758308,0.2857142857142857,0.08333333333333334,0.2857142857142857,0.26666666666666666,0.19969464708932327
295,0.22413793103448276,0.09774436090225563,0.2564102564102564,0.1515151515151515,0.2564102564102564,0.3278688524590163,0.191330393290976
298,0.9772727272727273,0.3467741935483871,1.0,0.4666666666666667,1.0,0.9032258064516129,0.22228619379570602
302,0.6571428571428571,0.2804878048780488,0.6470588235294118,0.275,0.6470588235294118,0.5641025641025642,0.2462313475252067
318,0.18661971830985916,0.11099476439790575,0.28169014084507044,0.14388489208633096,0.28169014084507044,0.3041825095057034,0.18214993050411565
361,0.5,0.048780487804878044,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.25,0.23492117490502196
395,0.1796116504854369,0.09698558322411532,0.43478260869565216,0.17937219730941703,0.43478260869565216,0.46511627906976744,0.17888290823025566
411,0.4722222222222222,0.2786885245901639,0.4745762711864407,0.23628691983122363,0.4745762711864407,0.4628099173553719,0.17089856188021146
420,0.1388888888888889,0.04784688995215312,0.21428571428571427,0.08333333333333331,0.21428571428571427,0.3157894736842105,0.20283950754690516
425,0.1388888888888889,0.04739336492890994,0.2727272727272727,0.16666666666666666,0.2727272727272727,0.33333333333333326,0.3008670607711288
431,0.75,0.1518987341772152,0.7,0.4117647058823529,0.7,0.7368421052631577,0.21312051935076637
439,0.375,0.049999999999999996,0.25,0.08333333333333334,0.25,0.23529411764705882,0.13703133670695178
457,0.631578947368421,0.2364532019704433,0.4827586206896552,0.23140495867768593,0.4827586206896552,0.5833333333333334,0.23850451563319075
471,0.5031055900621118,0.314868804664723,0.6986301369863014,0.3355263157894737,0.6986301369863014,0.6623376623376623,0.17854246918553085
498,0.5555555555555556,0.1408450704225352,0.5454545454545454,0.3243243243243243,0.5454545454545454,0.631578947368421,0.285932993560297
504,0.9,0.30821917808219174,0.7333333333333333,0.3793103448275862,0.7333333333333333,0.7586206896551724,0.17640628175881923
526,0.239247311827957,0.17433888344760037,0.625,0.28169014084507044,0.625,0.6666666666666666,0.16763653975432746
528,0.7181818181818181,0.38072289156626504,0.7407407407407407,0.4,0.7407407407407407,0.7272727272727273,0.21419216439906386
542,0.5363636363636364,0.23599999999999996,0.6153846153846154,0.26229508196721313,0.6153846153846154,0.6037735849056604,0.1881081247491868
548,1.0,0.04878048780487806,1.0,0.21052631578947367,1.0,1.0,0.24576097513597506
552,0.6181818181818182,0.2527881040892193,0.5833333333333334,0.2625,0.5833333333333334,0.5599999999999999,0.17275965474952226
561,0.37254901960784315,0.14901960784313725,0.45,0.2155688622754491,0.45,0.5538461538461539,0.17110820920967718
569,0.27848101265822783,0.1325301204819277,0.35294117647058826,0.1894736842105263,0.35294117647058826,0.4235294117647059,0.18881726641055652
585,0.325,0.16613418530351437,0.4838709677419355,0.17142857142857146,0.4838709677419355,0.5454545454545454,0.18675180978106787
592,0.5,0.06849315068493152,0.6666666666666666,0.2285714285714286,0.6666666666666666,0.6666666666666666,0.17915726521878084
602,0.28191489361702127,0.12634088200238378,0.3064516129032258,0.12751677852348992,0.3064516129032258,0.33928571428571425,0.1619607673678063
616,0.234375,0.11627906976744187,0.37254901960784315,0.17592592592592593,0.37254901960784315,0.35514018691588783,0.20180681603542527
656,0.5625,0.11764705882352941,0.7,0.23333333333333336,0.7,0.7777777777777777,0.17792733073986622
661,0.9,0.16071428571428573,0.8333333333333334,0.5555555555555556,0.8333333333333334,0.9090909090909091,0.27631802406180306
695,0.391304347826087,0.18815331010452965,0.29411764705882354,0.1408450704225352,0.29411764705882354,0.3278688524590164,0.16481517243160404
706,0.37037037037037035,0.12578616352201258,0.45,0.2195121951219512,0.45,0.5454545454545455,0.23319460847260953
801,0.41379310344827586,0.14634146341463417,0.5555555555555556,0.196078431372549,0.5555555555555556,0.5555555555555556,0.15876503177505774
810,0.5625,0.17142857142857143,0.6363636363636364,0.27450980392156865,0.6363636363636364,0.5185185185185185,0.2952321626845892
834,0.4,0.1475409836065574,0.4444444444444444,0.1875,0.4444444444444444,0.5106382978723405,0.16622933492383074
835,0.32941176470588235,0.1588652482269504,0.41509433962264153,0.25,0.41509433962264153,0.4631578947368421,0.21235786573328574
845,0.8823529411764706,0.26315789473684215,0.9090909090909091,0.392156862745098,0.9090909090909091,0.6896551724137931,0.2531665271505239
851,0.46,0.1554054054054054,0.4666666666666667,0.21874999999999997,0.4666666666666667,0.56,0.1949742691314964
860,0.25,0.11196911196911198,0.34375,0.14102564102564102,0.34375,0.44000000000000006,0.16253980935397672
884,0.625,0.09615384615384616,0.42857142857142855,0.13953488372093023,0.42857142857142855,0.4615384615384615,0.1964579735199019
888,0.2786885245901639,0.11846689895470383,0.2903225806451613,0.0983606557377049,0.2903225806451613,0.3272727272727273,0.16540149521011183
891,0.6029411764705882,0.20551378446115287,0.6,0.23529411764705882,0.6,0.6486486486486486,0.160109828374297
894,0.7,0.09929078014184396,0.6666666666666666,0.20512820512820512,0.6666666666666666,0.5714285714285715,0.24730749101148364
914,0.25,0.10020876826722337,0.25925925925925924,0.10144927536231885,0.25925925925925924,0.2692307692307692,0.160338674358383
925,0.9722222222222222,0.26315789473684215,0.9090909090909091,0.4166666666666667,0.9090909090909091,0.8695652173913043,0.24407481128235098
929,0.32142857142857145,0.13917525773195874,0.4166666666666667,0.1904761904761905,0.4166666666666667,0.425531914893617,0.20646196794709426
935,0.27450980392156865,0.13270142180094785,0.3157894736842105,0.13793103448275862,0.3157894736842105,0.34285714285714286,0.18452790800768892
942,0.5368421052631579,0.3437236731255265,0.6373626373626373,0.4055944055944055,0.6373626373626373,0.6863905325443787,0.2114474626040752
