seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
3,1,1,1,1,1,1,6
4,0,1,0,0,0,0,1
32,1,0,1,0,1,1,4
35,1,1,1,1,1,1,6
59,1,1,1,1,1,1,6
62,1,1,0,1,0,1,4
95,0,1,1,0,1,1,4
102,0,1,1,1,1,1,5
107,1,1,1,1,1,1,6
144,1,1,1,1,1,1,6
162,0,1,1,1,1,1,5
188,0,1,0,0,0,0,1
194,1,1,1,1,1,1,6
200,1,1,1,1,1,1,6
204,1,1,1,1,1,1,6
205,0,1,0,0,0,0,1
208,1,1,1,1,1,1,6
213,0,1,0,1,0,0,2
274,0,1,1,1,1,1,5
318,1,1,1,1,1,1,6
395,1,1,1,1,1,1,6
411,0,0,1,0,1,0,2
420,0,1,1,1,1,1,5
425,1,1,1,1,1,1,6
439,1,1,1,1,1,1,6
471,0,1,1,1,1,1,5
498,1,1,1,1,1,1,6
504,1,1,1,1,1,1,6
526,0,1,0,1,0,1,3
561,0,1,1,1,1,1,5
569,0,1,0,0,0,0,1
571,0,1,1,1,1,1,5
592,1,0,0,0,0,0,1
695,0,1,0,0,0,0,1
706,1,1,0,1,0,0,3
801,0,1,0,1,0,1,3
810,1,1,1,1,1,1,6
845,1,1,0,0,0,0,2
851,0,1,0,0,0,0,1
860,1,1,1,1,1,1,6
884,0,1,1,1,1,1,5
888,0,0,1,1,1,1,4
891,1,1,0,0,0,0,2
894,1,1,1,1,1,1,6
914,0,1,0,0,0,0,1
925,0,1,0,0,0,0,1
929,1,1,1,1,1,1,6
935,0,1,0,0,0,0,1
942,1,1,1,1,1,1,6
951,0,1,0,0,0,0,1
955,0,1,0,1,0,1,3
966,0,0,0,1,0,0,1
977,1,1,1,0,1,0,4
