seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
4,0,0,1,0,1,0,2
9,1,1,1,1,1,1,6
35,0,1,1,1,1,1,5
102,1,1,1,1,1,1,6
144,1,1,1,1,1,1,6
194,0,1,0,0,0,0,1
204,1,1,1,1,1,1,6
205,0,1,1,0,1,1,4
213,1,1,1,1,1,1,6
274,0,1,1,1,1,1,5
285,0,1,1,1,1,1,5
295,0,1,1,1,1,1,5
395,1,1,0,0,0,0,2
420,0,1,0,1,0,1,3
425,0,0,1,1,1,1,4
431,1,1,1,0,1,0,4
498,1,1,1,1,1,1,6
504,0,1,0,1,0,1,3
528,0,1,0,0,0,0,1
548,0,1,0,0,0,0,1
661,1,1,1,1,1,1,6
706,1,1,1,1,1,1,6
801,0,1,0,0,0,0,1
810,1,1,1,1,1,1,6
834,0,1,0,0,0,0,1
845,1,1,0,0,0,0,2
851,0,0,1,0,1,0,2
884,0,0,0,1,0,0,1
888,0,1,0,0,0,0,1
891,0,1,0,0,0,0,1
894,0,1,1,1,1,1,5
925,1,1,1,1,1,1,6
929,0,1,1,1,1,1,5
935,0,0,1,1,1,1,4
955,0,1,1,1,1,1,5
973,0,1,0,1,0,0,2
977,0,1,0,0,0,0,1
